delegacion,colonia,poblacion
ÁLVARO OBREGÓN,AMPLIACION PRESIDENTES,3218
ÁLVARO OBREGÓN,1ERA SECCION CAÑADA,1770
ÁLVARO OBREGÓN,1ERA  VICTORIA,5726
ÁLVARO OBREGÓN,2DA AMPLIACION PRESIDENTES,6087
ÁLVARO OBREGÓN,2DA DEL MORAL,1493
ÁLVARO OBREGÓN,2DA SECCION CAÑADA,1274
ÁLVARO OBREGÓN,2DO REACOMODO TLACUITLAPA,5368
ÁLVARO OBREGÓN,8 DE AGOSTO,590
ÁLVARO OBREGÓN,ABRAHAM GONZALEZ,314
ÁLVARO OBREGÓN,ACUEDUCTO,1631
ÁLVARO OBREGÓN,ACUILOTLA,923
ÁLVARO OBREGÓN,ALCANTARILLA,1870
ÁLVARO OBREGÓN,ALFONSO XIII,8289
ÁLVARO OBREGÓN,ALTAVISTA,575
ÁLVARO OBREGÓN,AMPLIACION  ALPES,2921
ÁLVARO OBREGÓN,LOMAS DEL CAPULIN,636
ÁLVARO OBREGÓN,AMPLIACION ESTADO DE HIDALGO,1191
ÁLVARO OBREGÓN,AMPLIACION JALALPA,2442
ÁLVARO OBREGÓN,AMPLIACION LA CEBADA,1185
ÁLVARO OBREGÓN,AMPLIACION LA MEXICANA,3954
ÁLVARO OBREGÓN,AMPLIACION LAS AGUILAS,6430
ÁLVARO OBREGÓN,AMPLIACION PILOTO ADOLFO LOPEZ MATEOS,8335
ÁLVARO OBREGÓN,AMPLIACION TEPEACA,1251
ÁLVARO OBREGÓN,AMPLIACION TLACUITLAPA,464
ÁLVARO OBREGÓN,ARCOS DEL CENTENARIO,99
ÁLVARO OBREGÓN,ARTURO MARTINEZ,2760
ÁLVARO OBREGÓN,ARVIDE,4276
ÁLVARO OBREGÓN,ATLAMAYA,691
ÁLVARO OBREGÓN,AVE REAL,1703
ÁLVARO OBREGÓN,BALCONES DE CEGUAYO,2792
ÁLVARO OBREGÓN,ALFALFAR,1915
ÁLVARO OBREGÓN,LA OTRA BANDA,2402
ÁLVARO OBREGÓN,BARRIO LORETO,966
ÁLVARO OBREGÓN,BARRIO NORTE,15289
ÁLVARO OBREGÓN,SANTA MARIA NONOALCO,4144
ÁLVARO OBREGÓN,BEJERO,1270
ÁLVARO OBREGÓN,BELEN DE LAS FLORES,4233
ÁLVARO OBREGÓN,BELLAVISTA,8529
ÁLVARO OBREGÓN,BONANZA,815
ÁLVARO OBREGÓN,BOSQUE,1520
ÁLVARO OBREGÓN,CALZADA DE JALALPA,4581
ÁLVARO OBREGÓN,CAMPESTRE,1883
ÁLVARO OBREGÓN,CAMPO DE TIRO LOS GAMITOS,118
ÁLVARO OBREGÓN,CANUTILLO,1148
ÁLVARO OBREGÓN,CANUTILLO 2DA SECCION,3399
ÁLVARO OBREGÓN,CANUTILLO 3ERA SECCION,228
ÁLVARO OBREGÓN,CARLOS A MADRAZO,1201
ÁLVARO OBREGÓN,CAROLA,5644
ÁLVARO OBREGÓN,CEGUAYA,536
ÁLVARO OBREGÓN,CHIMALISTAC,967
ÁLVARO OBREGÓN,COLINAS DEL SUR,7848
ÁLVARO OBREGÓN,COLINAS DE TARANGO,3180
ÁLVARO OBREGÓN,COOPERATIVA UNION OLIVOS,539
ÁLVARO OBREGÓN,CORPUS CHRISTY,6469
ÁLVARO OBREGÓN,COVE,4747
ÁLVARO OBREGÓN,CRISTO REY,7007
ÁLVARO OBREGÓN,CUEVITAS,2029
ÁLVARO OBREGÓN,DESARROLLO URBANO,4014
ÁLVARO OBREGÓN,DOS RIOS DEL PUEBLO SANTA LUCIA,1180
ÁLVARO OBREGÓN,EJIDO SAN MATEO,182
ÁLVARO OBREGÓN,EL ARBOL,631
ÁLVARO OBREGÓN,EL CAPULIN,1738
ÁLVARO OBREGÓN,EL CUERNITO,58
ÁLVARO OBREGÓN,EL ENCINO,1158
ÁLVARO OBREGÓN,EL MIRADOR,437
ÁLVARO OBREGÓN,EL PIRU 2A AMPLIACION,1173
ÁLVARO OBREGÓN,EL PIRU SANTA FE,1249
ÁLVARO OBREGÓN,EL PIRU,1291
ÁLVARO OBREGÓN,EL POCITO,955
ÁLVARO OBREGÓN,EL POLITACO,468
ÁLVARO OBREGÓN,EL RINCON,310
ÁLVARO OBREGÓN,EL RODEO,212
ÁLVARO OBREGÓN,EL RUEDO,258
ÁLVARO OBREGÓN,EL TEJOCOTE,1282
ÁLVARO OBREGÓN,ERMITA TIZAPAN,1936
ÁLVARO OBREGÓN,ESTADO DE HIDALGO,4011
ÁLVARO OBREGÓN,GUADALUPE CHIMALISTAC,1125
ÁLVARO OBREGÓN,EXHACIENDA DE TARANGO,2023
ÁLVARO OBREGÓN,FLOR DE MARIA,2092
ÁLVARO OBREGÓN,FLORIDA,5524
ÁLVARO OBREGÓN,FRANCISCO VILLA,5408
ÁLVARO OBREGÓN,GALEANA,699
ÁLVARO OBREGÓN,GARCIMARRERO,7216
ÁLVARO OBREGÓN,GOLONDRINAS,2197
ÁLVARO OBREGÓN,GOLONDRINAS 1A SECCION,2422
ÁLVARO OBREGÓN,GOLONDRINAS 2A SECCION,4684
ÁLVARO OBREGÓN,GUADALUPE INN,3599
ÁLVARO OBREGÓN,HERON PROAL,2044
ÁLVARO OBREGÓN,HIDALGO,1941
ÁLVARO OBREGÓN,HOGAR Y REDENCION,7970
ÁLVARO OBREGÓN,HUEYTLALE,564
ÁLVARO OBREGÓN,ISIDRO FABELA,2474
ÁLVARO OBREGÓN,JALALPA EL GRANDE,10379
ÁLVARO OBREGÓN,JALALPA TEPITO,4077
ÁLVARO OBREGÓN,JALALPA TEPITO 2A AMPLIACION,9069
ÁLVARO OBREGÓN,JARDINES DEL PEDREGAL,13403
ÁLVARO OBREGÓN,JOSE MARIA PINO SUAREZ,6925
ÁLVARO OBREGÓN,LA ANGOSTURA,1511
ÁLVARO OBREGÓN,LA ARAÑA,771
ÁLVARO OBREGÓN,LA CASCADA,2437
ÁLVARO OBREGÓN,LA CONCHITA,2952
ÁLVARO OBREGÓN,ESTRELLA,593
ÁLVARO OBREGÓN,LA HERRADURA,496
ÁLVARO OBREGÓN,LA HUERTA,1271
ÁLVARO OBREGÓN,LA JOYA,2810
ÁLVARO OBREGÓN,LA JOYITA,1013
ÁLVARO OBREGÓN,LA MARTINICA,2436
ÁLVARO OBREGÓN,LA MEXICANA,3974
ÁLVARO OBREGÓN,LA MEXICANA 2DA AMPLIACION,316
ÁLVARO OBREGÓN,LA MILAGROSA,918
ÁLVARO OBREGÓN,LA PALMITA,1103
ÁLVARO OBREGÓN,LA PEÑITA ,814
ÁLVARO OBREGÓN,LA PRESA,1122
ÁLVARO OBREGÓN,LADERA GRANDE CEBADILLA,1423
ÁLVARO OBREGÓN,LAS AGUILAS,6488
ÁLVARO OBREGÓN,LAS AGUILAS 1A SECCION,2900
ÁLVARO OBREGÓN,LAS AGUILAS 2DO PARQUE,84
ÁLVARO OBREGÓN,LAS AGUILAS 3ER PARQUE,5143
ÁLVARO OBREGÓN,LAS AMERICAS,39
ÁLVARO OBREGÓN,LIBERACION PROLETARIA,1952
ÁLVARO OBREGÓN,LIBERALES DE 1857,5615
ÁLVARO OBREGÓN,LLANO REDONDO,1377
ÁLVARO OBREGÓN,LOMAS DE AXOMIATLA,1334
ÁLVARO OBREGÓN,LOMAS DE BECERRA,14035
ÁLVARO OBREGÓN,LOMAS DE CAPULA,5386
ÁLVARO OBREGÓN,LOMAS DE CHAMONTOYA,6564
ÁLVARO OBREGÓN,LOMAS DE GUADALUPE,1252
ÁLVARO OBREGÓN,LOMAS DE LA ERA,13700
ÁLVARO OBREGÓN,LOMAS DE LAS AGUILAS,2711
ÁLVARO OBREGÓN,LOMAS DE LOS ANGELES ,4194
ÁLVARO OBREGÓN,LOMAS DE LOS CEDROS,4826
ÁLVARO OBREGÓN,LOMAS DE NUEVO MEXICO,2087
ÁLVARO OBREGÓN,LOMAS DE PLATEROS,16823
ÁLVARO OBREGÓN,LOMAS DE PUERTA GRANDE,1645
ÁLVARO OBREGÓN,LOMAS DE SAN ANGEL INN,3545
ÁLVARO OBREGÓN,LOMAS DE SANTA FE,260
ÁLVARO OBREGÓN,LOMAS DE TARANGO,2447
ÁLVARO OBREGÓN,LOS ALPES,3019
ÁLVARO OBREGÓN,LOS CEDROS,892
ÁLVARO OBREGÓN,LOS GAMITOS,852
ÁLVARO OBREGÓN,LOS JURISTAS,772
ÁLVARO OBREGÓN,MARGARITA MAZA DE JUAREZ,1109
ÁLVARO OBREGÓN,MARIA G DE GARCIA RUIZ,2869
ÁLVARO OBREGÓN,MARTIRES DE TACUBAYA,675
ÁLVARO OBREGÓN,MERCED GOMEZ,8601
ÁLVARO OBREGÓN,GAONA ARMENTA,922
ÁLVARO OBREGÓN,MIGUEL HIDALGO,784
ÁLVARO OBREGÓN,MINAS DE CRISTO,3419
ÁLVARO OBREGÓN,MOLINO DE ROSAS,7834
ÁLVARO OBREGÓN,MOLINO DE SANTO DOMINGO,7545
ÁLVARO OBREGÓN,OCOTILLOS ,625
ÁLVARO OBREGÓN,OLIVAR DE LOS PADRES,11154
ÁLVARO OBREGÓN,OLIVAR DEL CONDE 1ERA SECCION,14559
ÁLVARO OBREGÓN,OLIVAR DEL CONDE 2DA SECCION,15135
ÁLVARO OBREGÓN,PALMAS,3502
ÁLVARO OBREGÓN,PALMAS AXOTITLA,2087
ÁLVARO OBREGÓN,EL PARAISO,4728
ÁLVARO OBREGÓN,PASEO DE LAS LOMAS,153
ÁLVARO OBREGÓN,PILOTO ADOLFO LOPEZ MATEOS,5891
ÁLVARO OBREGÓN,PIRU SANTA LUCIA,275
ÁLVARO OBREGÓN,POLVORA,2052
ÁLVARO OBREGÓN,PONCIANO ARRIAGA,1515
ÁLVARO OBREGÓN,PRECONCRETO,1990
ÁLVARO OBREGÓN,PRESIDENTES,4513
ÁLVARO OBREGÓN, ARTURO MARTINEZ,1939
ÁLVARO OBREGÓN,PROGRESO TIZAPAN,6842
ÁLVARO OBREGÓN,AXOTLA,2370
ÁLVARO OBREGÓN,PUEBLO NUEVO,856
ÁLVARO OBREGÓN,SAN BARTOLO AMEYALCO,23794
ÁLVARO OBREGÓN,PUEBLO SANTA FE,6047
ÁLVARO OBREGÓN,PUEBLO SANTA LUCIA,12871
ÁLVARO OBREGÓN,PUEBLO SANTA LUCIA CHANTEPEC,2599
ÁLVARO OBREGÓN,SANTA ROSA XOCHIAC,16065
ÁLVARO OBREGÓN,TETELPAN,6188
ÁLVARO OBREGÓN,TIZAPAN,4110
ÁLVARO OBREGÓN,TLACOPAC,1420
ÁLVARO OBREGÓN,PUENTE COLORADO,5752
ÁLVARO OBREGÓN,PUERTA GRANDE,3973
ÁLVARO OBREGÓN,PUNTA DE CEGUAYO,3407
ÁLVARO OBREGÓN,RANCHO SAN FRANCISCO,859
ÁLVARO OBREGÓN,REACOMODO EL CUERNITO,2279
ÁLVARO OBREGÓN,REACOMODO PINO SUAREZ,1067
ÁLVARO OBREGÓN,VALENTIN GOMEZ FARIAS,1772
ÁLVARO OBREGÓN,REAL DEL MONTE,2181
ÁLVARO OBREGÓN,RINCON DE LA BOLSA,1554
ÁLVARO OBREGÓN,RINCONADA DE TARANGO,64
ÁLVARO OBREGÓN,RINCONADA LAS CUEVITAS,1732
ÁLVARO OBREGÓN,SACRAMENTO,1173
ÁLVARO OBREGÓN,SAN AGUSTIN ,4370
ÁLVARO OBREGÓN,SAN ANGEL,2657
ÁLVARO OBREGÓN,SAN ANGEL INN,1288
ÁLVARO OBREGÓN,SAN CLEMENTE NORTE,3659
ÁLVARO OBREGÓN,SAN CLEMENTE SUR,5039
ÁLVARO OBREGÓN,SAN GABRIEL,643
ÁLVARO OBREGÓN,SAN JERONIMO ACULCO,414
ÁLVARO OBREGÓN,SAN JOSE DEL OLIVAR,808
ÁLVARO OBREGÓN,SAN PEDRO DE LOS PINOS,4523
ÁLVARO OBREGÓN,SANTA FE,1334
ÁLVARO OBREGÓN,SANTA FE CENTRO CIUDAD,308
ÁLVARO OBREGÓN,SANTA FE LA LOMA,4623
ÁLVARO OBREGÓN,SANTA FE PEÑA BLANCA,123
ÁLVARO OBREGÓN,SANTA LUCIA CHANTEPEC,910
ÁLVARO OBREGÓN,TARANGO,4628
ÁLVARO OBREGÓN,TECALCAPA ,185
ÁLVARO OBREGÓN,TECOLALCO,1009
ÁLVARO OBREGÓN,TEPEACA,1198
ÁLVARO OBREGÓN,TEPOPOTLA,2244
ÁLVARO OBREGÓN,TIZAMPAMPANO ,504
ÁLVARO OBREGÓN,TLACOYAQUE,6062
ÁLVARO OBREGÓN,TLACUITLAPA,2136
ÁLVARO OBREGÓN,TLAPECHICO,4359
ÁLVARO OBREGÓN,TOLTECA,1727
ÁLVARO OBREGÓN,TORRES DE POTRERO,14351
ÁLVARO OBREGÓN,VILLA PROGRESISTA,2297
ÁLVARO OBREGÓN,VILLA SOLIDARIDAD,678
ÁLVARO OBREGÓN,VILLA VERDUM,2681
ÁLVARO OBREGÓN,ZENON DELGADO,2658
AZCAPOTZALCO,AGUILERA,2014
AZCAPOTZALCO,ALDANA,3228
AZCAPOTZALCO,AMPLIACION COSMOPOLITA,992
AZCAPOTZALCO,AMPLIACION DEL GAS,1254
AZCAPOTZALCO,AMPLIACION PETROLERA,1491
AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,19087
AZCAPOTZALCO,ANGEL ZIMBRON,2737
AZCAPOTZALCO,EL ARENAL,4817
AZCAPOTZALCO,HUAUTLA DE LAS SALINAS,166
AZCAPOTZALCO,BARRIO LOS REYES,3437
AZCAPOTZALCO,BARRIO NEXTENGO,3802
AZCAPOTZALCO,BARRIO SAN ANDRES,7072
AZCAPOTZALCO,SAN BERNABE,912
AZCAPOTZALCO,SAN MARCOS,7041
AZCAPOTZALCO,SAN MATEO,2065
AZCAPOTZALCO,BARRIO SANTA APOLONIA,4253
AZCAPOTZALCO,BARRIO SANTA LUCIA,649
AZCAPOTZALCO,CENTRO DE AZCAPOTZALCO (Villa de azcapotzalco y barrio san simon),3043
AZCAPOTZALCO,CLAVERIA,9570
AZCAPOTZALCO,COLTONGO,4173
AZCAPOTZALCO,COSMOPOLITA,3072
AZCAPOTZALCO,DEL GAS,4893
AZCAPOTZALCO,DEL MAESTRO,718
AZCAPOTZALCO,EL RECREO,9261
AZCAPOTZALCO,BARRIO JAGUEY,1924
AZCAPOTZALCO,EL ROSARIO,29252
AZCAPOTZALCO,EUZKADI,4428
AZCAPOTZALCO,EX-HACIENDA EL ROSARIO,13072
AZCAPOTZALCO,FERRERIA,1619
AZCAPOTZALCO,IGNACIO ALLENDE,1601
AZCAPOTZALCO,INDUSTRIAL SAN ANTONIO,14
AZCAPOTZALCO,INDUSTRIAL VALLEJO,965
AZCAPOTZALCO,JARDIN AZPEITIA,2528
AZCAPOTZALCO,LA PRECIOSA,3750
AZCAPOTZALCO,LA RAZA,2488
AZCAPOTZALCO,LAS SALINAS,906
AZCAPOTZALCO,LIBERACION,2414
AZCAPOTZALCO,LIBERTAD,1163
AZCAPOTZALCO,MONTE ALTO,1119
AZCAPOTZALCO,NUEVA EL ROSARIO,4582
AZCAPOTZALCO,NUEVA ESPAÑA,1931
AZCAPOTZALCO,NUEVA SANTA MARIA,15149
AZCAPOTZALCO,NUEVO SAN RAFAEL,2786
AZCAPOTZALCO,OBRERO POPULAR,4853
AZCAPOTZALCO,PASTEROS,6267
AZCAPOTZALCO,PATRIMONIO FAMILIAR,979
AZCAPOTZALCO,PETROLERA,3071
AZCAPOTZALCO,PLENITUD,3551
AZCAPOTZALCO,EL PORVENIR,3638
AZCAPOTZALCO,POTRERO DEL LLANO,1323
AZCAPOTZALCO,PRADOS DEL ROSARIO,5324
AZCAPOTZALCO,PRO-HOGAR,12486
AZCAPOTZALCO,PROVIDENCIA,7276
AZCAPOTZALCO,PUEBLO SAN ANDRES,6493
AZCAPOTZALCO,SAN ANDRES DE LAS SALINAS,241
AZCAPOTZALCO,PUEBLO SAN BARTOLO CAHUALTONGO (ESTA ES AMPLIACION PETROLERA NO SEQUE VERGAS),3042
AZCAPOTZALCO,SAN FRANCISCO TETECALA,2780
AZCAPOTZALCO,SAN FRANCISCO XOCOTITLA,1770
AZCAPOTZALCO,SAN JUAN TLIHUACA,11900
AZCAPOTZALCO,SAN MARTIN XOCHINAHUAC,18497
AZCAPOTZALCO,SAN MIGUEL AMANTLA,8305
AZCAPOTZALCO,SAN PEDRO XALPA,9951
AZCAPOTZALCO,SANTA BARBARA,8918
AZCAPOTZALCO,SANTA CATARINA,3614
AZCAPOTZALCO,SANTA CRUZ ACAYUCAN,1885
AZCAPOTZALCO,SANTA MARIA MANINALCO,7061
AZCAPOTZALCO,SANTIAGO AHUIZOTLA,12453
AZCAPOTZALCO,SANTO DOMINGO,4922
AZCAPOTZALCO,REYNOSA TAMAULIPAS,7490
AZCAPOTZALCO,SAN ALVARO,6743
AZCAPOTZALCO,SAN ANTONIO,4071
AZCAPOTZALCO,SAN RAFAEL,2127
AZCAPOTZALCO,SAN SALVADOR XOCHIMANCA,1032
AZCAPOTZALCO,BARRIO SAN SEBASTIAN,4669
AZCAPOTZALCO,SANTA CRUZ DE LAS SALINAS,355
AZCAPOTZALCO,SANTA INES,3231
AZCAPOTZALCO,BARRIO SANTO TOMAS,3450
AZCAPOTZALCO,SECTOR NAVAL,363
AZCAPOTZALCO,SINDICATO MEXICANO DE ELECTRICISTAS,3891
AZCAPOTZALCO,TEZOZOMOC,10171
AZCAPOTZALCO,TIERRA NUEVA,3169
AZCAPOTZALCO,TLATILCO,4695
AZCAPOTZALCO,TRABAJADORES DEL HIERRO,3087
AZCAPOTZALCO,UN HOGAR PARA CADA TRABAJADOR,1577
AZCAPOTZALCO,UNIDAD HABITACIONAL CUITLAHUAC,8494
AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS,4029
BENITO JUAREZ,8 DE AGOSTO,2704
BENITO JUAREZ,ACACIAS,5845
BENITO JUAREZ,ACTIPAN,3251
BENITO JUAREZ,ALAMOS,19120
BENITO JUAREZ,ALBERT,3208
BENITO JUAREZ,AMERICAS UNIDAS,3231
BENITO JUAREZ,AMPLIACION NAPOLES,3381
BENITO JUAREZ,ATENOR SALAS,1746
BENITO JUAREZ,CIUDAD DE LOS DEPORTES,4100
BENITO JUAREZ,CREDITO CONSTRUCTOR,781
BENITO JUAREZ,DEL CARMEN,2781
BENITO JUAREZ,DEL LAGO,437
BENITO JUAREZ,DEL VALLE CENTRO,22008
BENITO JUAREZ,DEL VALLE NORTE,20641
BENITO JUAREZ,DEL VALLE SUR,23574
BENITO JUAREZ,ERMITA,1396
BENITO JUAREZ,EXTREMADURA INSURGENTES,1910
BENITO JUAREZ,GENERAL PEDRO MARIA ANAYA,6477
BENITO JUAREZ,INDEPENDENCIA,10003
BENITO JUAREZ,INSURGENTES MIXCOAC,5184
BENITO JUAREZ,INSURGENTES SAN BORJA,788
BENITO JUAREZ,IZTACCIHUATL,2889
BENITO JUAREZ,JOSEFA ORTIZ DE DOMINGUEZ,1375
BENITO JUAREZ,LETRAN VALLE,9815
BENITO JUAREZ,MERCED GOMEZ,1543
BENITO JUAREZ,MIGUEL ALEMAN,1096
BENITO JUAREZ,MIRAVALLE,1899
BENITO JUAREZ,MIXCOAC,4329
BENITO JUAREZ,MODERNA,9952
BENITO JUAREZ,NAPOLES,12106
BENITO JUAREZ,NARVARTE ORIENTE (integrar U HAB),27300
BENITO JUAREZ,NARVARTE PONIENTE,24750
BENITO JUAREZ,NATIVITAS,10265
BENITO JUAREZ,NIÑOS HEROES DE CHAPULTEPEC,8724
BENITO JUAREZ,NOCHEBUENA,2257
BENITO JUAREZ,PERIODISTA FRANCISCO ZARCO,924
BENITO JUAREZ,PIEDAD NARVARTE,4576
BENITO JUAREZ,PORTALES NORTE,20924
BENITO JUAREZ,PORTALES ORIENTE,5434
BENITO JUAREZ,PORTALES SUR,15991
BENITO JUAREZ,POSTAL,4078
BENITO JUAREZ,EMPERADORES,1341
BENITO JUAREZ,SAN JOSE INSURGENTES,5958
BENITO JUAREZ,SAN JUAN,3637
BENITO JUAREZ,SAN PEDRO DE LOS PINOS,12007
BENITO JUAREZ,SAN SIMON TICUMAC,11286
BENITO JUAREZ,SANTA CRUZ ATOYAC,8600
BENITO JUAREZ,SANTA MARIA NONOALCO,8154
BENITO JUAREZ,TLACOQUEMECATL,6713
BENITO JUAREZ,VERTIZ NARVARTE,6517
BENITO JUAREZ,VILLA DE CORTES,2606
BENITO JUAREZ,XOCO,4002
BENITO JUAREZ,ZACAHUITZCO,1825
COYOACAN,ADOLFO RUIZ CORTINEZ,14119
COYOACAN,AJUSCO,36665
COYOACAN,ALIANZA POPULAR REVOLUCIONARIA,13627
COYOACAN,ATLANTIDA,850
COYOACAN,AVANTE,9909
COYOACAN,BARRIO DEL NIÑO JESUS,4728
COYOACAN,BARRIO LA CONCEPCION,1393
COYOACAN,BARRIO OXTOPULCO UNIVERSIDAD,2093
COYOACAN,BARRIO SAN LUCAS,4382
COYOACAN,BARRIO SANTA CATARINA,4338
COYOACAN,BOSQUES DE TETLAMEYA,922
COYOACAN,CAFETALES,3167
